Link Name,Source Physical Location,Source NE Name,Source NE ID,Source Board,Source Port,Sink Physical Location,Sink NE Name,Sink NE ID,Sink Board,Sink Port,Level,Up and down Rate Ratio(TX:RX),Source Protect Type,Sink Protect Type,Source Protection Group ID,Sink Protection Group ID,Source Protect Unit Type,Sink Protect Unit Type,Source Revertive Mode,Sink Revertive Mode,Source Protection Group Active Work Unit,Sink Protection Group Active Work Unit,Source XPIC Group ID,Sink XPIC Group ID,Source XPIC Group Capacity (Mbit/s),Sink XPIC Group Capacity (Mbit/s),Source XPIC Polarization Direction,Sink XPIC Polarization Direction,Source XPIC Adjoin NEID,Sink XPIC Adjoin NEID,Source XPIC Adjoin LinkID,Sink XPIC Adjoin LinkID,Source Frequency(GHz),Sink Frequency(GHz),Source ODU Frequency Range(MHz),Sink ODU Frequency Range(MHz),Source Equipment Infomation,Sink Equipment Infomation,Source Station Type,Sink Station Type,Source NE Frequency (MHz),Sink NE Frequency (MHz),Source NE Radio Work Mode,Sink NE Radio Work Mode,Source NE Preset Value of Transmit Power,Sink NE Preset Value of Transmit Power,Source NE Current Value of Transmit Power,Sink NE Current Value of Transmit Power,Source NE Preset Value of Receive Power,Sink NE Preset Value of Receive Power,Source NE Current Value of Receive Power,Sink NE Current Value of Receive Power,Source NE Max Value of Transmit Power of 24-Hour PM,Sink NE Max Value of Transmit Power of 24-Hour PM,Source NE Min Value of Transmit Power of 24-Hour PM,Sink NE Min Value of Transmit Power of 24-Hour PM,Source NE Max Value of Receive Power of 24-Hour PM,Sink NE Max Value of Receive Power of 24-Hour PM,Source NE Min Value of Receive Power of 24-Hour PM,Sink NE Min Value of Receive Power of 24-Hour PM,Source NE Guaranteed E1 Capacity,Sink NE Guaranteed E1 Capacity,Source NE Occupied E1 Capacity,Sink NE Occupied E1 Capacity,Source NE E1 Capacity Usage (%),Sink NE E1 Capacity Usage (%),Source NE Ethernet Capacity (Mbit/s),Sink NE Ethernet Capacity (Mbit/s),Source NE Max. Ethernet Throughput (kbps),Sink NE Max. Ethernet Throughput (kbps),Source NE Min. Ethernet Throughput (kbps),Sink NE Min. Ethernet Throughput (kbps),Source NE Average Ethernet Throughput (kbps),Sink NE Average Ethernet Throughput (kbps),Source NE ATPC Enable Status,Sink NE ATPC Enable Status,Source NE ATPC Upper Threshold,Sink NE ATPC Upper Threshold,Source NE ATPC Lower Threshold,Sink NE ATPC Lower Threshold,Source NE ATPC Automatic Threshold Enable Status,Sink NE ATPC Automatic Threshold Enable Status,Source NE ATPC Upper Automatic Threshold,Sink NE ATPC Upper Automatic Threshold,Source NE ATPC Lower Automatic Threshold,Sink NE ATPC Lower Automatic Threshold,Source NE AM Status,Sink NE AM Status,Source AM Full Capacity Modulation Format,Sink AM Full Capacity Modulation Format,Source AM Guaranteed Capacity Modulation Format,Sink AM Guaranteed Capacity Modulation Format,Highest-Order AM Scheme for Source NE,Highest-Order AM Scheme for Sink NE,Lowest-Order AM Scheme for Source NE,Lowest-Order AM Scheme for Sink NE,Link ID,Site Distance
l-1,,8048-BAR_X0224_NE_1,Sep-48,3-ISV3,1(5476-BAR_X0077_NE_2),,5476-BAR_X0077_NE_2,Sep-76,4-ISV3,1(8048-BAR_X0224_NE_1),Hybrid(89Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,"[10915.000,11215.000]","[11445.000,11745.000]",XMC-2,XMC-2,TX low,TX high,10996,11526,"0E1,14MHz,256QAM","0E1,14MHz,256QAM",15,15,-0.9,-1.9,-10,-10,-56.7,-55.6,-0.7,-1.9,-0.9,-3.6,-55,-53.3,-56.9,-55.6,0,0,0,0,-,-,88.203,88.203,40362,8515,92,131,8192,2180,Enabled,Enabled,-53,-53,-58,-58,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,QPSKStrong,QPSKStrong,/,/,/,/,4788,-
l-3,,7695-CTG_X0930_NE_2,Sep-95,3-ISV3,1(7669-CTG_X1648_NE_1),,7669-CTG_X1648_NE_1,Sep-69,5-ISV3,1(7695-CTG_X0930_NE_2),Hybrid(43Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,"[10915.000,11215.000]","[11445.000,11745.000]",XMC-2,XMC-2,TX low,TX high,11027.5,11557.5,"4E1,7MHz,256QAM","4E1,7MHz,256QAM",14,14,-3.9,-4,-10,-10,-58.6,-58.6,-3.9,-3.8,-4.1,-4,-57.9,-57.4,-59.4,-58.8,4,4,0,0,0,0,34.051,34.051,17774,6055,91,45,2488,775,Enabled,Enabled,-56,-56,-61,-61,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,QPSKStrong,QPSKStrong,/,/,/,/,4790,-
l-1,,8036-CTG_X0641_NE_1,Sep-36,4-ISV3,1(8037-CTG_W1680_NE_1),,8037-CTG_W1680_NE_1,Sep-37,3-ISV3,1(8036-CTG_X0641_NE_1),Hybrid(89Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,18,"[17685.000,18230.000]","[18695.000,19240.000]",XMC-2,XMC-2,TX low,TX high,17968.13,18978.13,"0E1,14MHz,256QAM","0E1,14MHz,256QAM",16,16,15.9,15.9,-10,-10,-38.6,-38.3,16,16,15.8,15.8,-38,-37.2,-40.2,-39.1,0,0,0,0,-,-,88.203,88.203,13382,45070,315,260,5597,17782,Disabled,Disabled,-,-,-,-,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,QPSKStrong,QPSKStrong,/,/,/,/,4791,-
l-2,,8036-CTG_X0641_NE_1,Sep-36,3-ISV3,1(8042-CTG_X0643_NE_1),,8042-CTG_X0643_NE_1,Sep-42,3-ISV3,1(8036-CTG_X0641_NE_1),Hybrid(89Mbit/s),-,1+1(HSB),1+1(HSB),2,1,Work Unit,Work Unit,Revertive,Revertive,Protect Unit,Work Unit,-,-,-,-,-,-,-,-,-,-,8,8,"[7905.000,8024.000]","[8171.000,8290.000]",XMC-2,XMC-2,TX low,TX high,7996,8262,"0E1,14MHz,256QAM","0E1,14MHz,256QAM",21,21,8.6,10.1,-43.8,-43.8,-54.8,-55.2,13.6,12.4,8.4,10.1,-53.1,-53.1,-57.7,-57.8,0,0,0,0,-,-,88.203,88.203,82378,25788,842,926,38487,11730,Enabled,Enabled,-53,-53,-58,-58,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,QPSKStrong,QPSKStrong,/,/,/,/,4792,-
l-3,,8036-CTG_X0641_NE_1,Sep-36,5-ISV3,1(8042-CTG_X0643_NE_1),,8042-CTG_X0643_NE_1,Sep-42,5-ISV3,1(8036-CTG_X0641_NE_1),Hybrid(89Mbit/s),-,1+1(HSB),1+1(HSB),2,1,Protect Unit,Protect Unit,Revertive,Revertive,Protect Unit,Protect Unit,-,-,-,-,-,-,-,-,-,-,8,8,"[7905.000,8024.000]","[8171.000,8290.000]",XMC-2,XMC-2,TX low,TX high,7996,8262,"0E1,14MHz,256QAM","0E1,14MHz,256QAM",21,21,-55,-55,-10,-10,-55.3,-55.9,-55,-55,-55,-55,-53.5,-53.4,-58,-58.3,0,0,0,0,-,-,88.203,88.203,80484,25897,829,921,38488,11730,Enabled,Enabled,-53,-53,-58,-58,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,QPSKStrong,QPSKStrong,/,/,/,/,4793,-
Will be Dismantled_MW Ring Optimization Project.,,8042-CTG_X0643_NE_1,Sep-42,4-ISV3,1(5805-CTG_X0157_NE_1),,5805-CTG_X0157_NE_1,Sep-05,5-ISV3,1(8042-CTG_X0643_NE_1),Hybrid(17Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,"[8171.000,8290.000]","[7905.000,8024.000]",XMC-2,XMC-2,TX high,TX low,8242.75,7976.75,"0E1,3.5MHz,128QAM","0E1,3.5MHz,128QAM",20,20,19.9,20,-43.9,-43.9,-45.7,-45.3,20.2,20.1,19.8,19.9,-42.6,-42,-47.1,-48.4,0,0,0,0,-,-,16.875,16.875,0,23,0,0,0,0,Disabled,Disabled,-,-,-,-,Disabled,Disabled,-,-,-,-,Enabled,Enabled,128QAM,128QAM,QPSKStrong,QPSKStrong,/,/,/,/,4794,-
l-5,,4569-BAR_X0163_NE_1,Sep-69,3-ISV3,1(4567-BAR_X0457_NE_1),,4567-BAR_X0457_NE_1,Sep-67,3-ISV3,1(4569-BAR_X0163_NE_1),Hybrid(109Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,15,"[14921.000,15145.000]","[14501.000,14725.000]",XMC-2,XMC-2,TX high,TX low,15117,14697,"0E1,14MHz,1024QAMLight","0E1,14MHz,1024QAMLight",11,11,6,5,-10,-10,-51.1,-50,7.1,5,5,2,-51.1,-49.9,-54.5,-53.9,0,0,0,0,-,-,108.702,108.702,8964,49845,122,4,3006,13545,Enabled,Enabled,-45,-49,-64,-54,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAMLight,1024QAMLight,QPSKStrong,QPSKStrong,/,/,/,/,4797,-
l-4,,8094-RAJ_X0438_NE_2,Sep-94,3-ISV3,1(5296-RAJ_X0136_NE_1),,5296-RAJ_X0136_NE_1,Sep-96,4-ISV3,1(8094-RAJ_X0438_NE_2),Hybrid(89Mbit/s),-,1+1(HSB),1+1(HSB),2,1,Work Unit,Work Unit,Revertive,Revertive,Work Unit,Work Unit,-,-,-,-,-,-,-,-,-,-,11,11,"[11445.000,11745.000]","[10915.000,11215.000]",XMC-2,XMC-2,TX high,TX low,11512,10982,"1E1,14MHz,256QAM","1E1,14MHz,256QAM",24,24,7.1,8.9,-10,-10,-51.6,-53.2,8.1,8.9,7.1,6.7,-51.6,-51.8,-53.6,-53.2,1,1,0,1,0,100,86.128,86.128,13821,76451,236,211,5304,18130,Enabled,Enabled,-50,-50,-55,-55,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,QPSKStrong,QPSKStrong,/,/,/,/,4799,-
l-5,,8094-RAJ_X0438_NE_2,Sep-94,5-ISV3,1(5296-RAJ_X0136_NE_1),,5296-RAJ_X0136_NE_1,Sep-96,6-ISV3,1(8094-RAJ_X0438_NE_2),Hybrid(89Mbit/s),-,1+1(HSB),1+1(HSB),2,1,Protect Unit,Protect Unit,Revertive,Revertive,Protect Unit,Protect Unit,-,-,-,-,-,-,-,-,-,-,11,11,"[11445.000,11745.000]","[10915.000,11215.000]",XMC-2,XMC-2,TX high,TX low,11512,10982,"1E1,14MHz,256QAM","1E1,14MHz,256QAM",24,24,-55,-55,-10,-10,-50.9,-52.8,-55,-55,-55,-55,-50.9,-51.6,-52.8,-52.8,1,1,0,0,0,0,86.128,86.128,13564,76798,232,210,5304,18130,Enabled,Enabled,-50,-50,-55,-55,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,QPSKStrong,QPSKStrong,/,/,/,/,4800,-
Chain_01,,5664-RAJ_X0108_NE_1,Sep-64,4-ISV3,1(6300-RAJ_X0716_NE_1),,6300-RAJ_X0716_NE_1,Sep-00,4-ISV3,1(5664-RAJ_X0108_NE_1),Hybrid(89Mbit/s),-,1+1(HSB),1+1(HSB),1,1,Work Unit,Work Unit,Revertive,Revertive,Work Unit,Work Unit,-,-,-,-,-,-,-,-,-,-,11,11,"[10915.000,11215.000]","[11445.000,11745.000]",XMC-2,XMC-2,TX low,TX high,10996,11526,"3E1,14MHz,256QAM","3E1,14MHz,256QAM",19,19,19,19,-43.1,-43.1,-40.3,-41,19.1,19.1,18.9,19,-37.9,-39.2,-40.7,-41.9,3,3,1,1,33.33,33.33,81.979,81.979,7497,38254,190,177,1920,5526,Disabled,Disabled,-,-,-,-,Disabled,Disabled,-,-,-,-,Disabled,Disabled,/,/,/,/,/,/,/,/,4801,-
Chain_01,,5664-RAJ_X0108_NE_1,Sep-64,6-ISV3,1(6300-RAJ_X0716_NE_1),,6300-RAJ_X0716_NE_1,Sep-00,6-ISV3,1(5664-RAJ_X0108_NE_1),Hybrid(89Mbit/s),-,1+1(HSB),1+1(HSB),1,1,Protect Unit,Protect Unit,Revertive,Revertive,Protect Unit,Protect Unit,-,-,-,-,-,-,-,-,-,-,11,11,"[10915.000,11215.000]","[11445.000,11745.000]",XMC-2,XMC-2,TX low,TX high,10996,11526,"3E1,14MHz,256QAM","3E1,14MHz,256QAM",19,19,-55,-55,-10,-10,-45.7,-45,-55,-55,-55,-55,-43.2,-43.6,-46.2,-46.4,3,3,0,0,0,0,81.979,81.979,7501,38236,190,177,1920,5526,Disabled,Disabled,-,-,-,-,Disabled,Disabled,-,-,-,-,Disabled,Disabled,/,/,/,/,/,/,/,/,4802,-
Chain-05,,8058-BAR_X0160_NE_2,Sep-58,3-ISV3,1(5620-BAR_X0194_NE_1),,5620-BAR_X0194_NE_1,Sep-20,4-ISV3,1(8058-BAR_X0160_NE_2),Hybrid(183Mbit/s),-,1+1(HSB),1+1(HSB),1,1,Work Unit,Work Unit,Revertive,Revertive,Work Unit,Work Unit,-,-,-,-,-,-,-,-,-,-,11,11,"[11205.000,11505.000]","[10675.000,10975.000]",XMC-2,XMC-2,TX high,TX low,11439,10909,"0E1,28MHz,256QAM","0E1,28MHz,256QAM",21,21,7.8,9.6,-10,-10,-47.9,-48.8,10,9.6,7.8,7,-47.9,-46.2,-50.6,-49.6,0,0,0,0,-,-,182.507,182.507,22418,94151,1233,1288,10152,41038,Enabled,Enabled,-46,-46,-51,-51,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,QPSKStrong,QPSKStrong,/,/,/,/,4807,-
Chain-05,,8058-BAR_X0160_NE_2,Sep-58,5-ISV3,1(5620-BAR_X0194_NE_1),,5620-BAR_X0194_NE_1,Sep-20,6-ISV3,1(8058-BAR_X0160_NE_2),Hybrid(183Mbit/s),-,1+1(HSB),1+1(HSB),1,1,Protect Unit,Protect Unit,Revertive,Revertive,Protect Unit,Protect Unit,-,-,-,-,-,-,-,-,-,-,11,11,"[11205.000,11505.000]","[10675.000,10975.000]",XMC-2,XMC-2,TX high,TX low,11439,10909,"0E1,28MHz,256QAM","0E1,28MHz,256QAM",21,21,-55,-55,-10,-10,-52.4,-53.4,-55,-55,-55,-55,-52.4,-51,-55.8,-54.3,0,0,0,0,-,-,182.507,182.507,22441,94012,1237,1284,10152,41037,Enabled,Enabled,-46,-46,-51,-51,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,QPSKStrong,QPSKStrong,/,/,/,/,4808,-
l-1,,8061-BAR_X0051_NE_1,Sep-61,4-ISV3,1(5203-BAR_X0097_NE_1),,5203-BAR_X0097_NE_1,Sep-03,4-ISV3,1(8061-BAR_X0051_NE_1),Hybrid(228Mbit/s),-,1+1(HSB),1+1(HSB),1,1,Work Unit,Work Unit,Revertive,Revertive,Work Unit,Work Unit,-,-,-,-,-,-,-,-,-,-,8,8,"[7905.000,8024.000]","[8171.000,8290.000]",XMC-2,XMC-2,TX low,TX high,7975,8241,"2E1,28MHz,1024QAMLight","2E1,28MHz,1024QAMLight",22,22,22.8,20.9,-10,-10,-43.3,-43.3,22.8,20.9,15.9,12,-40.6,-40.6,-44.7,-44.8,2,2,0,0,0,0,223.248,223.248,164901,42131,0,1800,78640,18594,Enabled,Enabled,-40,-40,-45,-45,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAMLight,1024QAMLight,QPSKStrong,QPSKStrong,/,/,/,/,4809,-
l-2,,8061-BAR_X0051_NE_1,Sep-61,3-ISV3,1(4569-BAR_X0163_NE_1),,4569-BAR_X0163_NE_1,Sep-69,4-ISV3,1(8061-BAR_X0051_NE_1),Hybrid(210Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,"[10915.000,11215.000]","[11445.000,11745.000]",XMC-2,XMC-2,TX low,TX high,11017,11547,"1E1,28MHz,512QAMLight","1E1,28MHz,512QAMLight",21,21,14,11,-10,-10,-44.6,-43,14,13.1,7.5,11,-41.5,-43,-44.6,-48.6,1,1,0,0,0,0,207.296,207.296,24515,103704,982,134,10500,42857,Enabled,Enabled,-41,-41,-46,-56,Disabled,Disabled,-,-,-,-,Enabled,Enabled,512QAMLight,512QAMLight,QPSKStrong,QPSKStrong,/,/,/,/,4810,-
Chain_05,,6521-BAR_G0484_NE_1,Sep-21,3-ISV3,1(5620-BAR_X0194_NE_1),,5620-BAR_X0194_NE_1,Sep-20,3-ISV3,1(6521-BAR_G0484_NE_1),Hybrid(17Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,15,"[14921.000,15145.000]","[14501.000,14725.000]",XMC-2,XMC-2,TX high,TX low,15122.25,14702.25,"0E1,3.5MHz,128QAM","0E1,3.5MHz,128QAM",12,12,0.3,0,-10,-10,-48.3,-48.3,0.3,0,0,-0.2,-47,-46.9,-48.7,-48.3,0,0,0,0,-,-,16.875,16.875,2153,1090,34,58,561,381,Enabled,Enabled,-56,-56,-61,-61,Disabled,Disabled,-,-,-,-,Enabled,Enabled,128QAM,128QAM,QPSKStrong,QPSKStrong,/,/,/,/,4811,-
l-5,,7582-SYL_X0042_NE_1,Sep-82,5-ISV3,1(7822-SYL_G0386_NE_1),,7822-SYL_G0386_NE_1,Sep-22,3-ISV3,1(7582-SYL_X0042_NE_1),Hybrid(54Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,18,"[17685.000,18230.000]","[18695.000,19240.000]",XMC-2,XMC-2,TX low,TX high,17937.25,18947.25,"0E1,7MHz,1024QAMLight","0E1,7MHz,1024QAMLight",16,16,2.5,2.6,-10,-10,-57.6,-58.5,3.1,2.6,2.5,1.3,-57.6,-56.6,-59.1,-58.5,0,0,0,0,-,-,53.699,53.699,9624,46702,190,353,3518,14305,Enabled,Enabled,-55.5,-55.5,-60.5,-60.5,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAMLight,1024QAMLight,QPSK,QPSK,/,/,/,/,4814,-
l-6,,7582-SYL_X0042_NE_1,Sep-82,3-ISV3,1(3026-SYL_X9001_NE_1),,3026-SYL_X9001_NE_1,Sep-26,13-ISV3,1(7582-SYL_X0042_NE_1),Hybrid(161Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,"[7905.000,8024.000]","[8171.000,8290.000]",XMC-2,XMC-2,TX low,TX high,8003,8269,"1E1,28MHz,128QAM","1E1,28MHz,128QAM",16,16,10.5,10.5,-10,-10,-56.5,-56.9,10.5,10.5,6.5,6.4,-51.2,-52.5,-56.5,-58.1,1,1,0,0,0,0,157.844,157.844,125827,30901,1967,1306,55247,14081,Enabled,Enabled,-54,-54,-59,-59,Disabled,Disabled,-,-,-,-,Enabled,Enabled,128QAM,128QAM,QPSKStrong,QPSKStrong,/,/,/,/,4815,-
l-1,,6718-RAJ_X0408_NE_2,Sep-18,3-ISV3,1(3670-RAJ_G1336_NE_1),,3670-RAJ_G1336_NE_1,Sep-70,3-ISV3,1(6718-RAJ_X0408_NE_2),Hybrid(54Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,15,"[14921.000,15145.000]","[14501.000,14725.000]",XMC-2,XMC-2,TX high,TX low,15120.5,14700.5,"0E1,7MHz,1024QAMLight","0E1,7MHz,1024QAMLight",6,20,0,-0.1,-10,-10,-56.3,-57.7,0.1,1.1,-0.1,-1,-51.2,-56.7,-57,-58.5,0,0,0,0,-,-,53.699,53.699,14259,39245,0,0,3954,12981,Enabled,Enabled,-56,-56,-61,-61,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAMLight,1024QAMLight,16QAMStrong,16QAMStrong,/,/,/,/,4817,-
l-2(DANGER),,6714-RAJ_X0468_NE_1,Sep-14,5-ISV3,1(3478-RAJ_X0408_NE_1),,3478-RAJ_X0408_NE_1,Sep-78,5-ISV3,1(6714-RAJ_X0468_NE_1),Hybrid(287Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,"[10675.000,10975.000]","[11205.000,11505.000]",XMC-2,XMC-2,TX low,TX high,10915,11445,"3E1,40MHz,512QAMLight","3E1,40MHz,512QAMLight",11,11,11,9.1,-10,-10,-42,-41.5,11,10.2,10,8.1,-40.4,-40.7,-42.9,-41.9,3,3,2,2,66.67,66.67,279.717,279.717,95243,234925,4962,6157,47323,123421,Enabled,Enabled,-40,-40,-45,-45,Disabled,Disabled,-,-,-,-,Enabled,Enabled,512QAMLight,512QAMLight,QPSKStrong,QPSKStrong,/,/,/,/,4818,-
l-9,,5381-CTG_G1990_NE_1,Sep-81,3-ISV3,1(5382-CTG_X0625_NE_1),,5382-CTG_X0625_NE_1,Sep-82,3-ISV3,1(5381-CTG_G1990_NE_1),Hybrid(54Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,18,"[18695.000,19240.000]","[17685.000,18230.000]",XMC-2,XMC-2,TX high,TX low,18954.25,17944.25,"0E1,7MHz,1024QAMLight","0E1,7MHz,1024QAMLight",10,10,4.5,2.3,-10,-10,-47,-47.2,4.5,2.3,2,0,-47,-47.2,-49,-48.7,0,0,0,0,-,-,53.699,53.699,33192,7803,/,103,/,2101,Enabled,Enabled,-45,-45,-50,-50,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAMLight,1024QAMLight,16QAMStrong,16QAMStrong,256QAM,/,QPSKStrong,/,4821,-
l-10,,8062-CTG_X1594_NE_1,Sep-62,3-ISV3,1(5382-CTG_X0625_NE_1),,5382-CTG_X0625_NE_1,Sep-82,5-ISV3,1(8062-CTG_X1594_NE_1),Hybrid(89Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,"[8171.000,8290.000]","[7905.000,8024.000]",XMC-2,XMC-2,TX high,TX low,8262,7996,"0E1,14MHz,256QAM","0E1,14MHz,256QAM",22,22,16.1,16,-10,-10,-46.1,-45.3,23.1,22,16.1,16,-45.4,-45.2,-49.8,-49.5,0,0,0,0,-,-,88.203,88.203,47459,9937,328,260,13970,4019,Enabled,Enabled,-45,-45,-50,-50,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,QPSKStrong,QPSKStrong,/,/,/,/,4822,-
l-11,,5382-CTG_X0625_NE_1,Sep-82,4-ISV3,1(8060-CTG_X0653_NE_2),,8060-CTG_X0653_NE_2,Sep-60,3-ISV3,1(5382-CTG_X0625_NE_1),Hybrid(43Mbit/s),-,1+1(HSB),1+1(HSB),1,1,Work Unit,Work Unit,Revertive,Revertive,Work Unit,Work Unit,-,-,-,-,-,-,-,-,-,-,11,11,"[10915.000,11215.000]","[11445.000,11745.000]",XMC-2,XMC-2,TX low,TX high,10999.5,11529.5,"0E1,7MHz,256QAM","0E1,7MHz,256QAM",15,15,0,-0.1,-10,-10,-56.3,-56,6.9,11,-2.3,-1.1,-53,-53.1,-58,-57.9,0,0,0,0,-,-,42.269,42.269,0,0,0,0,0,0,Enabled,Enabled,-53,-53,-58,-58,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,QPSKStrong,QPSKStrong,/,/,/,/,4823,-
l-12,,5382-CTG_X0625_NE_1,Sep-82,6-ISV3,1(8060-CTG_X0653_NE_2),,8060-CTG_X0653_NE_2,Sep-60,5-ISV3,1(5382-CTG_X0625_NE_1),Hybrid(43Mbit/s),-,1+1(HSB),1+1(HSB),1,1,Protect Unit,Protect Unit,Revertive,Revertive,Protect Unit,Protect Unit,-,-,-,-,-,-,-,-,-,-,11,11,"[10915.000,11215.000]","[11445.000,11745.000]",XMC-2,XMC-2,TX low,TX high,10999.5,11529.5,"0E1,7MHz,256QAM","0E1,7MHz,256QAM",15,15,-55,-55,-10,-10,-60.2,-61.4,-55,-55,-55,-55,-57.5,-58.4,-62.6,-63.4,0,0,0,0,-,-,42.269,42.269,0,0,0,0,0,0,Enabled,Enabled,-53,-53,-58,-58,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,QPSKStrong,QPSKStrong,/,/,/,/,4824,-
l-1,,7149-RAJ_G0386_NE_1,Sep-49,3-ISV3,1(7145-RAJ_X1652_NE_1),,7145-RAJ_X1652_NE_1,Sep-45,3-ISV3,1(7149-RAJ_G0386_NE_1),Hybrid(54Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,18,"[17685.000,18230.000]","[18695.000,19240.000]",XMC-2,XMC-2,TX low,TX high,17988,18998,"0E1,7MHz,1024QAMLight","0E1,7MHz,1024QAMLight",4,4,-0.1,0.1,-74.5,-74.5,-50,-50.2,0,0.1,-0.3,0,-49.7,-50.2,-50.2,-50.8,0,0,0,0,-,-,53.699,53.699,1286,1910,82,41,463,581,Enabled,Enabled,-58,-58,-63,-63,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAMLight,1024QAMLight,QPSKStrong,QPSKStrong,/,/,/,/,4825,-
l-2,,6430-RAJ_G1704_NE_1,Sep-30,3-ISV3,1(6432-RAJ_X1050_NE_1),,6432-RAJ_X1050_NE_1,Sep-32,3-ISV3,1(6430-RAJ_G1704_NE_1),Hybrid(89Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,"[10915.000,11215.000]","[11445.000,11745.000]",XMC-2,XMC-2,TX low,TX high,11010,11540,"2E1,14MHz,256QAM","2E1,14MHz,256QAM",9,9,-1,-2,-81,-81,-55.3,-54.2,0.2,-1.9,-1.9,-2,-54.8,-53.9,-57.7,-57.9,2,2,0,0,0,0,84.054,84.054,33000,7306,0,108,5488,1466,Enabled,Enabled,-53,-53,-58,-58,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,QPSKStrong,QPSKStrong,/,/,/,/,4826,-
l-3,,7149-RAJ_G0386_NE_1,Sep-49,5-ISV3,1(7670-RAJ_X9008_NE_1),,7670-RAJ_X9008_NE_1,Sep-70,4-ISV3,1(7149-RAJ_G0386_NE_1),Hybrid(228Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,"[10915.000,11215.000]","[11445.000,11745.000]",XMC-2,XMC-2,TX low,TX high,11017,11547,"4E1,28MHz,1024QAMLight","4E1,28MHz,1024QAMLight",20,20,4.1,4.3,-39,-39,-47.8,-48.3,5.2,5,4.1,4.3,-47.7,-47.4,-48.3,-48.3,4,4,0,0,0,0,219.097,219.097,74824,23393,977,970,29486,9249,Enabled,Enabled,-46,-46,-51,-51,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAMLight,1024QAMLight,QPSKStrong,QPSKStrong,/,/,/,/,4827,-
