Link Name,Source Physical Location,Source NE Name,Source NE ID,Source Board,Source Port,Sink Physical Location,Sink NE Name,Sink NE ID,Sink Board,Sink Port,Level,Up and down Rate Ratio(TX:RX),Source Protect Type,Sink Protect Type,Source Protection Group ID,Sink Protection Group ID,Source Protect Unit Type,Sink Protect Unit Type,Source Revertive Mode,Sink Revertive Mode,Source Protection Group Active Work Unit,Sink Protection Group Active Work Unit,Source XPIC Group ID,Sink XPIC Group ID,Source XPIC Group Capacity (Mbit/s),Sink XPIC Group Capacity (Mbit/s),Source XPIC Polarization Direction,Sink XPIC Polarization Direction,Source XPIC Adjoin NEID,Sink XPIC Adjoin NEID,Source XPIC Adjoin LinkID,Sink XPIC Adjoin LinkID,Source Frequency(GHz),Sink Frequency(GHz),Source ODU Frequency Range(MHz),Sink ODU Frequency Range(MHz),Source Equipment Infomation,Sink Equipment Infomation,Source Station Type,Sink Station Type,Source NE Frequency (MHz),Sink NE Frequency (MHz),Source NE Radio Work Mode,Sink NE Radio Work Mode,Source NE Preset Value of Transmit Power,Sink NE Preset Value of Transmit Power,Source NE Current Value of Transmit Power,Sink NE Current Value of Transmit Power,Source NE Preset Value of Receive Power,Sink NE Preset Value of Receive Power,Source NE Current Value of Receive Power,Sink NE Current Value of Receive Power,Source NE Max Value of Transmit Power of 24-Hour PM,Sink NE Max Value of Transmit Power of 24-Hour PM,Source NE Min Value of Transmit Power of 24-Hour PM,Sink NE Min Value of Transmit Power of 24-Hour PM,Source NE Max Value of Receive Power of 24-Hour PM,Sink NE Max Value of Receive Power of 24-Hour PM,Source NE Min Value of Receive Power of 24-Hour PM,Sink NE Min Value of Receive Power of 24-Hour PM,Source NE Guaranteed E1 Capacity,Sink NE Guaranteed E1 Capacity,Source NE Occupied E1 Capacity,Sink NE Occupied E1 Capacity,Source NE E1 Capacity Usage (%),Sink NE E1 Capacity Usage (%),Source NE Ethernet Capacity (Mbit/s),Sink NE Ethernet Capacity (Mbit/s),Source NE Max. Ethernet Throughput (kbps),Sink NE Max. Ethernet Throughput (kbps),Source NE Min. Ethernet Throughput (kbps),Sink NE Min. Ethernet Throughput (kbps),Source NE Average Ethernet Throughput (kbps),Sink NE Average Ethernet Throughput (kbps),Source NE ATPC Enable Status,Sink NE ATPC Enable Status,Source NE ATPC Upper Threshold,Sink NE ATPC Upper Threshold,Source NE ATPC Lower Threshold,Sink NE ATPC Lower Threshold,Source NE ATPC Automatic Threshold Enable Status,Sink NE ATPC Automatic Threshold Enable Status,Source NE ATPC Upper Automatic Threshold,Sink NE ATPC Upper Automatic Threshold,Source NE ATPC Lower Automatic Threshold,Sink NE ATPC Lower Automatic Threshold,Source NE AM Status,Sink NE AM Status,Source AM Full Capacity Modulation Format,Sink AM Full Capacity Modulation Format,Source AM Guaranteed Capacity Modulation Format,Sink AM Guaranteed Capacity Modulation Format,Highest-Order AM Scheme for Source NE,Highest-Order AM Scheme for Sink NE,Lowest-Order AM Scheme for Source NE,Lowest-Order AM Scheme for Sink NE,Link ID,Site Distance
l-1,,7692-DHK_X3871_NE_1,Sep-92,3-ISV3,1(2274-DHK_X3676_NE_1),,2274-DHK_X3676_NE_1,Sep-74,5-ISV3,1(7692-DHK_X3871_NE_1),Hybrid(196Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,38,"[38304.000,38892.000]","[37044.000,37632.000]",XMC-2,XMC-2,TX high,TX low,38388,37128,"1E1,28MHz,512QAM","1E1,28MHz,512QAM",0,0,0,0.1,-10,-10,-48.2,-50.4,0,0.1,0,0,-47.1,-48.8,-48.3,-51.3,1,1,0,1,0,100,193.597,193.597,103909,19875,2,325,19850,4592,Enabled,Enabled,-53,-53,-58,-58,Disabled,Disabled,-,-,-,-,Enabled,Enabled,512QAM,512QAM,QPSKStrong,QPSKStrong,256QAM,/,QPSKStrong,/,15254,-
l-2,,7938-DHK_X2008_NE_2,Sep-38,3-ISV3,1(7928-DHK_G4468_NE_1),,7928-DHK_G4468_NE_1,Sep-28,3-ISV3,1(7938-DHK_X2008_NE_2),Hybrid(89Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,"[8171.000,8290.000]","[7905.000,8024.000]",XMC-2,XMC-2,TX high,TX low,8248,7982,"0E1,14MHz,256QAM","0E1,14MHz,256QAM",22,22,9,11.5,-10,-10,-51.9,-53.1,12.6,11.5,8.4,9.2,-50.4,-50.5,-54.6,-54.7,0,0,0,0,-,-,88.203,88.203,10430,32529,254,148,4028,10813,Enabled,Enabled,-50,-50,-55,-55,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,QPSKStrong,QPSKStrong,/,/,/,/,15265,-
l-2,,3942-DHK_X5630_NE_1,Sep-42,5-ISV3,1(316-DHK_X1971_NE_1),,316-DHK_X1971_NE_1,9-316,3-ISV3,1(DHK_X5630_NE_1),Hybrid(89Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,38,"[38304.000,38892.000]","[37044.000,37632.000]",XMC-2,XMC-2,TX high,TX low,38381,37121,"0E1,14MHz,256QAM","0E1,14MHz,256QAM",0,0,0.1,0,-34.8,-34.8,-41,-40.4,0.1,0,-0.2,-0.1,-40.5,-40.1,-41.1,-40.6,0,0,0,0,-,-,88.203,88.203,11724,34855,214,148,4353,9933,Enabled,Enabled,-45,-45,-50,-50,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,QPSKStrong,QPSKStrong,256QAM,/,QPSKStrong,/,15266,-
Will be Dismantled_MW Ring Optimization Project.,,3802-DHK_W5257_NE_1,Sep-02,5-ISV3,1(2983-DHK_W2568_NE_1),,2983-DHK_W2568_NE_1,Sep-83,5-ISV3,1(3802-DHK_W5257_NE_1),Hybrid(17Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,"[10915.000,11215.000]","[11445.000,11745.000]",XMC-2,XMC-2,TX low,TX high,11039.75,11569.75,"0E1,3.5MHz,128QAM","0E1,3.5MHz,128QAM",18,18,5,3.8,-10,-10,-54.3,-54.8,5,3.8,-1,-1.2,-53.2,-53.3,-57.8,-58,0,0,0,0,-,-,16.875,16.875,384,1008,0,1,0,3,Enabled,Enabled,-53,-53,-58,-58,Disabled,Disabled,-,-,-,-,Enabled,Enabled,128QAM,128QAM,QPSKStrong,QPSKStrong,/,256QAM,/,QPSKStrong,15270,-
l-3,,1630-DHK_X9021_NE_2,9-1630,14-ISV3,1(1323-DHK_X0174_NE_1),,1323-DHK_X0174_NE_1,9-1323,5-ISV3,1(DHK_X9021_NE_2),Hybrid(228Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,26,"[24549.000,24885.000]","[25557.000,25893.000]",XMC-2,XMC-2,TX low,TX high,24619,25627,"3E1,28MHz,1024QAMLight","3E1,28MHz,1024QAMLight",11,11,0,0,-10,-10,-41.2,-40.3,0.1,0.1,0,0,-41.1,-40,-41.6,-40.5,3,3,2,2,66.67,66.67,221.173,221.173,30433,79392,680,660,7091,23187,Enabled,Enabled,-44,-44,-49,-49,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAMLight,1024QAMLight,QPSKStrong,QPSKStrong,/,/,/,/,15273,-
l-4,,59-DHK_X4008_NE_1,Sep-59,5-ISV3,1(459-DHK_X1033_NE_1),,459-DHK_X1033_NE_1,9-459,5-ISV3,1(59-DHK_X4008_NE_1),Hybrid(54Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,38,"[37044.000,37632.000]","[38304.000,38892.000]",XMC-2,XMC-2,TX low,TX high,37117.5,38377.5,"0E1,7MHz,1024QAMLight","0E1,7MHz,1024QAMLight",0,0,0,-0.1,-34.4,-34.4,-36.2,-35.6,0,0,-0.1,-0.2,-36.2,-35.6,-36.6,-36.1,0,0,0,0,-,-,53.699,53.699,51629,15557,186,170,11778,2269,Enabled,Enabled,-45,-45,-50,-50,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAMLight,1024QAMLight,QPSKStrong,QPSKStrong,/,/,/,/,15274,-
Will be Dismantled_MW Ring Optimization Project.,,7863-DHK_X1858_NE_1,Sep-63,5-ISV3,1(8131-DHK_R4690_NE_1),,8131-DHK_R4690_NE_1,Sep-31,5-ISV3,1(7863-DHK_X1858_NE_1),Hybrid(17Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,"[7905.000,8024.000]","[8171.000,8290.000]",XMC-2,XMC-2,TX low,TX high,7980.25,8246.25,"0E1,3.5MHz,128QAM","0E1,3.5MHz,128QAM",17,17,6.5,6.5,-10,-10,-50.2,-51.1,8.7,8.6,6.4,6.4,-48,-47.7,-57.4,-57.9,0,0,0,0,-,-,16.875,16.875,83,493,0,0,0,1,Enabled,Enabled,-53,-53,-58,-58,Disabled,Disabled,-,-,-,-,Enabled,Enabled,128QAM,128QAM,QPSKStrong,QPSKStrong,1024QAMLight,/,QPSKStrong,/,15275,-
Chain_03,,9029-DHK_X1945_NE_2,Sep-29,4-ISV3,1(8929-DHK_X1167_NE_2),,8929-DHK_X1167_NE_2,Sep-29,7-ISV3,1(9029-DHK_X1945_NE_2),Hybrid(109Mbit/s),-,1+1(HSB),1+1(HSB),1,3,Work Unit,Work Unit,Revertive,Revertive,Work Unit,Work Unit,-,-,-,-,-,-,-,-,-,-,15,15,"[14501.000,14725.000]","[14921.000,15145.000]",XMC-2,XMC-2,TX low,TX high,14711,15131,"0E1,14MHz,1024QAMLight","0E1,14MHz,1024QAMLight",19,19,0.8,1.7,-10,-10,-55.3,-55.5,2.3,2.5,-0.4,-0.2,-53.5,-53.3,-57.6,-57.7,0,0,0,0,-,-,108.702,108.702,4013,3079,55,153,1633,1245,Enabled,Enabled,-53,-53,-58,-58,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAMLight,1024QAMLight,QPSK,QPSK,2048QAM,/,QPSKStrong,/,15276,-
Chain_03,,9029-DHK_X1945_NE_2,Sep-29,6-ISV3,1(8929-DHK_X1167_NE_2),,8929-DHK_X1167_NE_2,Sep-29,9-ISV3,1(9029-DHK_X1945_NE_2),Hybrid(109Mbit/s),-,1+1(HSB),1+1(HSB),1,3,Protect Unit,Protect Unit,Revertive,Revertive,Protect Unit,Protect Unit,-,-,-,-,-,-,-,-,-,-,15,15,"[14501.000,14725.000]","[14921.000,15145.000]",XMC-2,XMC-2,TX low,TX high,14711,15131,"0E1,14MHz,1024QAMLight","0E1,14MHz,1024QAMLight",19,19,-55,-55,-10,-10,-60.7,-61.6,-55,-55,-55,-55,-58.6,-59.1,-62.7,-63.8,0,0,0,0,-,-,108.702,108.702,4006,3080,54,149,1633,1245,Enabled,Enabled,-53,-53,-58,-58,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAMLight,1024QAMLight,QPSK,QPSK,2048QAM,/,QPSKStrong,/,15277,-
l-3,,8929-DHK_X1167_NE_2,Sep-29,3-ISV3,1(8934-DHK_X9028_NE_2-XPIC-V-M),,8934-DHK_X9028_NE_2,Sep-34,7-ISV3,1(8929-DHK_X1167_NE_2-XPIC-V-M),Hybrid(161Mbit/s),-,1+1(HSB),1+1(HSB),1,1,Work Unit,Work Unit,Revertive,Revertive,Work Unit,Work Unit,1,1,322,322,V,V,-,-,-,-,8,8,"[7905.000,8024.000]","[8171.000,8290.000]",XMC-2,XMC-2,TX low,TX high,7975,8241,"0E1,28MHz,128QAM","0E1,28MHz,128QAM",26,26,26,25.9,-10,-10,-40.1,-39.4,26,26,25.9,25.9,-34.9,-34.6,-50.2,-48.3,0,0,0,0,-,-,159.919,159.919,0,53,0,0,0,2,Disabled,Disabled,-,-,-,-,Disabled,Disabled,-,-,-,-,Enabled,Enabled,128QAM,128QAM,QPSKStrong,QPSKStrong,/,/,/,/,15278,-
l-4,,8929-DHK_X1167_NE_2,Sep-29,4-ISV3,1(8934-DHK_X9028_NE_2-XPIC-H-M),,8934-DHK_X9028_NE_2,Sep-34,8-ISV3,1(8929-DHK_X1167_NE_2-XPIC-H-M),Hybrid(161Mbit/s),-,1+1(HSB),1+1(HSB),2,2,Work Unit,Work Unit,Revertive,Revertive,Work Unit,Work Unit,1,1,322,322,H,H,-,-,-,-,8,8,"[7905.000,8024.000]","[8171.000,8290.000]",XMC-2,XMC-2,TX low,TX high,7975,8241,"0E1,28MHz,128QAM","0E1,28MHz,128QAM",26,26,25.9,26,-10,-10,-40.1,-40.1,25.9,26,25.9,25.9,-35.2,-34.8,-49.4,-48.9,0,0,0,0,-,-,159.919,159.919,229,226,221,224,225,225,Disabled,Disabled,-,-,-,-,Disabled,Disabled,-,-,-,-,Enabled,Enabled,128QAM,128QAM,QPSKStrong,QPSKStrong,/,/,/,/,15279,-
l-5,,8929-DHK_X1167_NE_2,Sep-29,5-ISV3,1(8934-DHK_X9028_NE_2-XPIC-V-S),,8934-DHK_X9028_NE_2,Sep-34,9-ISV3,1(8929-DHK_X1167_NE_2-XPIC-V-S),Hybrid(161Mbit/s),-,1+1(HSB),1+1(HSB),1,1,Protect Unit,Protect Unit,Revertive,Revertive,Protect Unit,Protect Unit,2,2,322,322,V,V,-,-,-,-,8,8,"[7905.000,8024.000]","[8171.000,8290.000]",XMC-2,XMC-2,TX low,TX high,7975,8241,"0E1,28MHz,128QAM","0E1,28MHz,128QAM",26,26,-55,-55,-10,-10,-45.3,-44.4,-55,-55,-55,-55,-40.1,-39.6,-55.3,-53.2,0,0,0,0,-,-,159.919,159.919,0,53,0,0,0,2,Disabled,Disabled,-,-,-,-,Disabled,Disabled,-,-,-,-,Enabled,Enabled,128QAM,128QAM,QPSKStrong,QPSKStrong,/,/,/,/,15280,-
l-6,,8929-DHK_X1167_NE_2,Sep-29,6-ISV3,1(8934-DHK_X9028_NE_2-XPIC-H-S),,8934-DHK_X9028_NE_2,Sep-34,10-ISV3,1(8929-DHK_X1167_NE_2-XPIC-H-S),Hybrid(161Mbit/s),-,1+1(HSB),1+1(HSB),2,2,Protect Unit,Protect Unit,Revertive,Revertive,Protect Unit,Protect Unit,2,2,322,322,H,H,-,-,-,-,8,8,"[7905.000,8024.000]","[8171.000,8290.000]",XMC-2,XMC-2,TX low,TX high,7975,8241,"0E1,28MHz,128QAM","0E1,28MHz,128QAM",26,26,-55,-55,-10,-10,-44.8,-44.9,-55,-55,-55,-55,-40.5,-40.3,-54.3,-54.2,0,0,0,0,-,-,159.919,159.919,228,229,223,222,225,225,Disabled,Disabled,-,-,-,-,Disabled,Disabled,-,-,-,-,Enabled,Enabled,128QAM,128QAM,QPSKStrong,QPSKStrong,/,/,/,/,15281,-
Will be Dismantled_MW Ring Optimization Project.,,8123-DHK_X2645_NE_2,Sep-23,4-ISV3,1(8223-DHK_X1946_NE_1),,8223-DHK_X1946_NE_1,Sep-23,5-ISV3,1(8123-DHK_X2645_NE_2),Hybrid(17Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,"[11445.000,11745.000]","[10915.000,11215.000]",XMC-2,XMC-2,TX high,TX low,11510.25,10980.25,"0E1,3.5MHz,128QAM","0E1,3.5MHz,128QAM",20,20,4.2,5.3,-10,-10,-55.2,-56.5,9.1,8.3,1,3.2,-53,-53.2,-58,-57.8,0,0,0,0,-,-,16.875,16.875,0,45,0,0,0,0,Enabled,Enabled,-53,-53,-58,-58,Disabled,Disabled,-,-,-,-,Enabled,Enabled,128QAM,128QAM,QPSKStrong,QPSKStrong,/,/,/,/,15282,-
l-2,,8859-DHK_R5472_NE_1,Sep-59,3-ISV3,1(6233-DHK_X4282_NE_1),,6233-DHK_X4282_NE_1,Sep-33,4-ISV3,1(8859-DHK_R5472_NE_1),Hybrid(89Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,"[8171.000,8290.000]","[7905.000,8024.000]",XMC-2,XMC-2,TX high,TX low,8276,8010,"0E1,14MHz,256QAM","0E1,14MHz,256QAM",19,19,13.8,13.2,-10,-10,-48.3,-48.1,19.4,21.4,12.3,11.2,-47,-47.1,-52,-51.9,0,0,0,0,-,-,88.203,88.203,37593,11747,198,346,11303,4221,Enabled,Enabled,-47,-47,-52,-52,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,QPSKStrong,QPSKStrong,1024QAMLight,256QAM,QPSKStrong,QPSKStrong,15283,-
l-1,,61-DHK_X2970_NE_1,Sep-61,2-ISV3,1(DHK_X2098_NE_1),,49-DHK_X2098_NE_1,Sep-49,4-ISV3,1(DHK_X2970_NE_1),Hybrid(217Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,18,"[17685.000,18230.000]","[18695.000,19240.000]",XMC-2,XMC-2,TX low,TX high,18002.5,19012.5,"0E1,28MHz,1024QAM","0E1,28MHz,1024QAM",4,4,0,0,-10,-10,-45.6,-45.9,0.1,0.1,0,0,-45.6,-45.1,-47.1,-46.1,0,0,0,0,-,-,216.664,216.664,106681,38430,650,555,33301,6836,Enabled,Enabled,-52,-52,-57,-57,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAM,1024QAM,QPSKStrong,QPSKStrong,/,256QAM,/,QPSKStrong,15284,-
l-1,,7910-DHK_X4099_NE_1,Sep-10,3-ISV3,1(7380-DHK_X2667_NE_1),,7380-DHK_X2667_NE_1,Sep-80,4-ISV3,1(7910-DHK_X4099_NE_1),Hybrid(183Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,"[10915.000,11215.000]","[11445.000,11745.000]",XMC-2,XMC-2,TX low,TX high,10989,11519,"0E1,28MHz,256QAM","0E1,28MHz,256QAM",17,17,5.1,4.7,-10,-10,-52.3,-52.5,6.3,7.2,4.2,3.1,-50.1,-50.4,-54.8,-54.8,0,0,0,0,-,-,182.507,182.507,58597,14042,881,741,16073,5649,Enabled,Enabled,-50,-50,-55,-55,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,QPSK,QPSK,1024QAMLight,1024QAMLight,QPSKStrong,QPSKStrong,15285,-
l-2,,7910-DHK_X4099_NE_1,Sep-10,5-ISV3,1(7912-DHK_G4692_NE_1),,7912-DHK_G4692_NE_1,Sep-12,3-ISV3,1(7910-DHK_X4099_NE_1),Hybrid(109Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,15,"[14921.000,15145.000]","[14501.000,14725.000]",XMC-2,XMC-2,TX high,TX low,15117,14697,"0E1,14MHz,1024QAMLight","0E1,14MHz,1024QAMLight",17,17,9.5,9.9,-10,-10,-46.5,-48.3,10.6,11.2,6.5,7.1,-45.4,-45.4,-49.7,-49.6,0,0,0,0,-,-,108.702,108.702,7395,49165,364,349,2505,6503,Enabled,Enabled,-45,-45,-50,-50,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAMLight,1024QAMLight,QPSKStrong,QPSKStrong,256QAM,1024QAMLight,QPSKStrong,QPSKStrong,15286,-
ring01,,5780-DHK_X0500_NE_1,9-49135,4-ISV3,1(5585-DHK_X1168_NE_1),,5585-DHK_X1168_NE_1,Sep-85,5-ISV3,1(5780-DHK_X0500_NE_1),Hybrid(183Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,"[10915.000,11215.000]","[11445.000,11745.000]",XMC-2,XMC-2,TX low,TX high,11017,11547,"3E1,28MHz,256QAM","3E1,28MHz,256QAM",11,11,-1,-1.1,-10,-10,-51.7,-51.5,0.1,0.1,-2.1,-3,-50.4,-50.4,-55,-54.9,3,3,2,2,66.67,66.67,176.259,176.259,132363,29067,0,3,43340,12502,Enabled,Enabled,-50,-50,-55,-55,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,QPSKStrong,QPSKStrong,1024QAMLight,/,QPSKStrong,/,15288,-
ring01,,5780-DHK_X0500_NE_1,9-49135,6-ISV3,1(3785-DHK_X3209_NE_1),,3785-DHK_X3209_NE_1,Sep-85,5-ISV3,1(5780-DHK_X0500_NE_1),Hybrid(183Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,"[10675.000,10975.000]","[11205.000,11505.000]",XMC-2,XMC-2,TX low,TX high,10909,11439,"1E1,28MHz,256QAM","1E1,28MHz,256QAM",16,16,8,14.1,-10,-10,-46.4,-44.6,21.9,20,4.8,3.9,-43,-42.9,-48.1,-48.4,1,1,1,1,100,100,180.424,180.424,40868,2877,0,0,37,3,Enabled,Enabled,-43,-43,-48,-48,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,QPSKStrong,QPSKStrong,1024QAMLight,1024QAMLight,QPSKStrong,QPSKStrong,15289,-
ring01,,5780-DHK_X0500_NE_1,9-49135,5-ISV3,1(5778-DHK_X0673_NE_2),,5778-DHK_X0673_NE_2,Sep-78,6-ISV3,1(5780-DHK_X0500_NE_1),Hybrid(228Mbit/s),-,1+1(HSB),1+1(HSB),1,1,Protect Unit,Protect Unit,Revertive,Revertive,Protect Unit,Protect Unit,-,-,-,-,-,-,-,-,-,-,8,8,"[7905.000,8024.000]","[8171.000,8290.000]",XMC-2,XMC-2,TX low,TX high,7975,8241,"1E1,28MHz,1024QAMLight","1E1,28MHz,1024QAMLight",23,23,-55,-55,-10,-10,-48.8,-49.2,-55,-55,-55,-55,-44.5,-47.1,-52,-52.8,1,1,0,0,0,0,225.323,225.323,22434,91138,877,649,9537,34437,Enabled,Enabled,-42,-42,-47,-47,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAMLight,1024QAMLight,QPSKStrong,QPSKStrong,256QAM,/,QPSKStrong,/,15290,-
ring01,,5780-DHK_X0500_NE_1,9-49135,3-ISV3,1(5778-DHK_X0673_NE_2),,5778-DHK_X0673_NE_2,Sep-78,4-ISV3,1(5780-DHK_X0500_NE_1),Hybrid(228Mbit/s),-,1+1(HSB),1+1(HSB),1,1,Work Unit,Work Unit,Revertive,Revertive,Work Unit,Work Unit,-,-,-,-,-,-,-,-,-,-,8,8,"[7905.000,8024.000]","[8171.000,8290.000]",XMC-2,XMC-2,TX low,TX high,7975,8241,"1E1,28MHz,1024QAMLight","1E1,28MHz,1024QAMLight",23,23,15,16,-10,-10,-43.7,-44,22.9,22.4,12.1,12.9,-39.5,-41.5,-47.1,-47,1,1,0,0,0,0,225.323,225.323,22621,89331,818,661,9537,34437,Enabled,Enabled,-42,-42,-47,-47,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAMLight,1024QAMLight,QPSKStrong,QPSKStrong,256QAM,/,QPSKStrong,/,15291,-
l-8,,997-DHK_X3434_NE_1,9-997,3-ISV3,1(1009-DHK_X1770_NE_1),,1009-DHK_X1770_NE_1,9-1009,4-ISV3,1(DHK_X3434_NE_1),Hybrid(109Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,26,"[25557.000,25893.000]","[24549.000,24885.000]",XMC-2,XMC-2,TX high,TX low,25592,24584,"0E1,14MHz,1024QAMLight","0E1,14MHz,1024QAMLight",0,0,0,0,-10,-10,-30.8,-30.4,0,0.1,0,0,-30.5,-30.1,-31,-30.5,0,0,0,0,-,-,108.702,108.702,76158,23795,224,300,16281,4810,Enabled,Enabled,-45,-45,-50,-50,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAMLight,1024QAMLight,QPSKStrong,QPSKStrong,256QAM,/,QPSKStrong,/,15292,-
Will be Dismantled_MW Ring Optimization Project.,,2579-DHK_X5182_NE_1,Sep-79,4-ISV3,1(4385-DHK_G5575_NE_1),,4385-DHK_G5575_NE_1,Sep-85,4-ISV3,1(2579-DHK_X5182_NE_1),Hybrid(38Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,15,"[14921.000,15145.000]","[14501.000,14725.000]",XMC-2,XMC-2,TX high,TX low,15127.5,14707.5,"0E1,7MHz,128QAM","0E1,7MHz,128QAM",21,21,6.5,8.6,-10,-10,-56.2,-55.7,13.6,10.7,5.5,6.5,-53.2,-53.1,-57.8,-58,0,0,0,0,-,-,37.667,37.667,0,6,0,2,0,3,Enabled,Enabled,-53,-53,-58,-58,Disabled,Disabled,-,-,-,-,Enabled,Enabled,128QAM,128QAM,QPSKStrong,QPSKStrong,1024QAMLight,1024QAMLight,QPSKStrong,QPSKStrong,15293,-
l-3,,64-DHK_X1131_NE_1,Sep-64,1-ISV3,1(61-DHK_X2970_NE_1),,61-DHK_X2970_NE_1,Sep-61,4-ISV3,1(64-DHK_X1131_NE_1),Hybrid(228Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,38,"[38304.000,38892.000]","[37044.000,37632.000]",XMC-2,XMC-2,TX high,TX low,38388,37128,"0E1,28MHz,1024QAMLight","0E1,28MHz,1024QAMLight",8,8,0.1,0,-10,-10,-43.7,-41.8,0.1,0.1,0,0,-41.2,-40.7,-43.7,-41.8,0,0,0,0,-,-,227.398,227.398,69,346,0,0,1,1,Enabled,Enabled,-40.5,-40.5,-45.5,-45.5,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAMLight,1024QAMLight,QPSK,QPSK,/,/,/,/,15297,-
l-4,,53-DHK_X4082_NE_1,Sep-53,6-ISV3,1(61-DHK_X2970_NE_1),,61-DHK_X2970_NE_1,Sep-61,6-ISV3,1(53-DHK_X4082_NE_1),Hybrid(183Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,26,"[25557.000,25893.000]","[24549.000,24885.000]",XMC-2,XMC-2,TX high,TX low,25599,24591,"0E1,28MHz,256QAM","0E1,28MHz,256QAM",0,0,0,0.1,-10,-10,-32.4,-33.8,0.1,0.1,0,0,-32.2,-33.5,-32.6,-33.9,0,0,0,0,-,-,182.507,182.507,74009,20595,206,203,16694,3340,Enabled,Enabled,-42,-42,-47,-47,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,QPSKStrong,QPSKStrong,/,/,/,/,15298,-
l-7,,9081-DHK_X0945_NE_2,Sep-81,3-ISV3,1(4606-DHK_X4832_NE_1),,4606-DHK_X4832_NE_1,Sep-06,6-ISV3,1(DHK_X0945_NE_2),Hybrid(242Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,18,"[18695.000,19240.000]","[17685.000,18230.000]",XMC-2,XMC-2,TX high,TX low,18985,17975,"0E1,28MHz,2048QAM","0E1,28MHz,2048QAM",8,8,6.5,4.5,-10,-10,-42.3,-41.3,6.5,6.6,5.4,4.5,-40.9,-41.3,-42.3,-42.8,0,0,0,0,-,-,241.045,241.045,25391,108146,588,569,6360,29036,Enabled,Enabled,-40,-40,-45,-45,Disabled,Disabled,-,-,-,-,Enabled,Enabled,2048QAM,2048QAM,QPSKStrong,QPSKStrong,1024QAMLight,256QAM,QPSKStrong,QPSKStrong,15301,-
